Body ID,Body,Product Name,Product Type,Horizontal Accuracy,Vertical Accuracy,Resolution,Coverage,Status,Offline Formats,Online Formats,Source/Producer,Data Provider,References
606,Titan,Cassini ISS Global Mosaic,Uncontrolled Image Mosaic,?,?,11ppd / 4kmpp,95-97%,Current,['GeoTiff'],?,Perry et al.,USGS,['Perry:2005lpsc']
606,Titan,Cassini ISS Mosaic,Absolutely Controlled Image Mosaic,?,?,100ppd / 450mpp,-65 to 45,Current,"['GeoTiff', 'PNG']",WMS,USGS,USGS,['Archinal:2013lpsc']
606,Titan,Cassini SAR Spline Interpolated Global Topography,Elevation,?,?,1ppd / 45kmpp,Global,Current,['Tiff'],?,"Lorenz, et al.","UA, Icarus",['Lorenz:2013icarus']
606,Titan,Radar Stereo-photogrammetric DEMs,Elevation,?,200m,Varies,Regional,Current,['Unreleased'],?,"Kirk, et al.",?,['Kirk:2012lpsc']
606,Titan,Altimeter Echo DEMs,Elevation,?,35m,?,Regional,Current,['Unreleased'],?,"Zebker, et al.",?,['Zebker:2009']
606,Titan,SAR Topo DEM,Elevation,?,160m,10kmpp,5.2%,Current,['Unreleased'],?,"Stiles, et al.",?,['Stiles:2009icarus']
606,Titan,Merged / Interpolated Global DEM,Elevation,?,?,4ppd,Global,Current,['Text'],?,"Corlies, et al.",?,['Corlies:2017grl']
606,Titan,Cassini VIMS Global Mosaic,Uncontrolled mosaic,?,?,32ppd / 1.4kmpp,Global,Unreleased,['?'],?,Le Mouélic et al.,Unreleased,['Mouelic:2019icarus']
608,Iapetus,Cassini Stereo Derived Topography,Elevation,?,?,?,Semi-Global,Unreleased,['?'],?,Shenk,Unreleased,['Schenk:2010web']
608,Iapetus,Cassini ISS Global Mosaic,Semi-controlled Unrectified Image Mosaic,?,?,16ppd / 803mpp,Semi-Global,Current,"['GeoTiff', 'IMG', 'PDF', 'PNG']",WMS,DLR,"DLR, PDS, USGS","['Roatsch:2016enc', 'Roatsch:2008isprs']"
609,Phoebe,Shape Model,Elevation,?,?,?,Global,Current,"['ICQ', 'Tab']",?,Gaskell,PDS,['Gaskell:2013pdsphoebe']
609,Phoebe,Cassini ISS Global Mosaic,Semi-controlled Unrectified Image Mosaic,?,?,233mpp,Semi-Global,Current,"['IMG', 'PDF', 'PNG']",?,DLR,"DLR, PDS","['Roatsch:2016enc', 'Roatsch:2008isprs']"
