Body ID,Body,Product Name,Product Type,Horizontal Accuracy,Vertical Accuracy,Resolution,Coverage,Status,Offline Formats,Online Formats,Source/Producer,Data Provider,References
601,Mimas,Shape Model,Elevation,?,?,?,Global,Current,"['ICQ', 'Tab']",?,Gaskell,PDS,['Gaskell:2013pds']
601,Mimas,Cassini Stereo Derived Topography,Elevation,?,?,?,Semi-Global,Unreleased,['?'],?,Shenk,Unreleased,['Schenk:2010web']
601,Mimas,Cassini ISS Global Mosaic,Semi-controlled Unrectified Image Mosaic,?,?,700mpp to < 200mpp,Semi-Global,Current,"['IMG', 'PDF', 'PNG']",WMS,DLR,"DLR, PDS",['Roatsch:2018pss']
602,Enceladus,Gravity Model,Gravity,N/A,N/A,?,Global,Current,['?'],?,"Iess, et al.",Unreleased,['Iess:2014sci']
602,Enceladus,Shape Model,Elevation,<100m,29m-2km,2.2kmpp,Global,Unreleased,['?'],?,USGS,Unreleased,"['Bland:2020isprs', 'Bland:2019lpsc', 'Bland:2019pdw']"
602,Enceladus,Cassini Stereo Derived Topography,Elevation,?,?,?,Semi-Global,Unreleased,['?'],?,Shenk,Unreleased,['Schenk:2010web']
602,Enceladus,Cassini ISS Global Mosaic,Relatively Controlled Unrectified Image Mosaic,?,?,100mpp,Global,Current,"['GeoTiff', 'IMG']",WMS,DLR,"PDS, USGS",['Roatsch:2018pss']
602,Enceladus,Cassini ISS GLobal Mosaic,Realtivel Controlled Unrectified Image Mosaic,?,?,110mpp / 44ppd,Global,Current,['GeoTiff'],?,USGS,USGS,['Bland:2018ess']
603,Tethys,Shape Model,Elevation,?,?,?,Global,Current,"['ICQ', 'Tab']",?,Gaskell,PDS,['Gaskell:2013pdstethys']
603,Tethys,Cassini Stereo Derived Topography,Elevation,?,?,?,Semi-Global,Unreleased,['?'],?,Shenk,Unreleased,['Schenk:2010web']
603,Tethys,Cassini ISS Global Mosaic,Semi-controlled Unrectified Image Mosaic,?,?,32ppd / 293mpp,Global,Current,"['GeoTiff', 'IMG', 'PDF', 'PNG']",WMS,DLR,"DLR, PDS, USGS","['Roatsch:2016enc', 'Roatsch:2008isprs']"
604,Dione,Gravity Model,Gravity,N/A,N/A,?,Global,Current,['?'],?,Unreleased,"Zannoni, et al.",['Zannoni:2020icarus']
604,Dione,Shape Model,Elevation,?,?,?,Global,Current,"['ICQ', 'Tab']",?,Gaskell,PDS,['Gaskell:2013pdsdione']
604,Dione,Cassini Stereo Derived Topography,Elevation,?,?,?,Semi-Global,Unreleased,['?'],?,Shenk,Unreleased,['Schenk:2010web']
604,Dione,Cassini ISS Global Mosaic,Semi-controlled Unrectified Image Mosaic,?,?,154mpp,Global,Current,"['GeoTiff', 'IMG', 'PDF', 'PNG']",WMS,DLR,"DLR, PDS, USGS","['Roatsch:2016enc', 'Roatsch:2008isprs']"
605,Rhea,Gravity Model,Gravity,N/A,N/A,?,Global,Current,['?'],?,"Tortora, et al.",Unreleased,['Tortora:2016icarus']
605,Rhea,Cassini Stereo Derived Topography,Elevation,?,?,?,Semi-Global,Unreleased,['?'],?,Shenk,Unreleased,['Schenk:2010web']
605,Rhea,Cassini ISS Global Mosaic,Semi-controlled Unrectified Image Mosaic,?,?,417mpp,Global,Current,"['GeoTiff', 'IMG', 'PDF', 'PNG']",?,DLR,"DLR, PDS, USGS","['Roatsch:2016enc', 'Roatsch:2008isprs']"
